Timestamp,What school are you associated with?,What grade are you in?,What is your gender?,What is your race or ethnicity? Check all that apply.,Are you part of any other minority group?,What is your political affiliation?,Do your parents generally share this affiliation?,Do you favor or oppose laws allowing transgender people to choose a bathroom based on their gender identity?,Do you favor greater or looser restrictions on the process of purchasing a gun?,Do you favor or oppose decreasing military spending in the national budget in favor of other government programs?,Do you favor or oppose testing welfare recipients for drug use before distributing benefits?,Do you favor or oppose requiring the use of body cameras on police officers?,Do you favor or oppose increased environmental regulations on businesses and corporations?,Are you Pro-Life or Pro-Choice on the issue of abortion legislation?,"Should the government increase or decrease funding for social welfare programs (food stamps, medicare, social security, etc.)?",Do you favor or oppose increasing restrictions on immigration into the US?,Should the federal government set a national minimum wage or should state governments set the minimum wage based on their own needs?,Do you support the movement Black Lives Matter? ,Do you favor or oppose deploying more American ground troops to fight ISIS in the Middle East?,"Given that our European allies don't pay NATO proportionally, should we fulfill our promise to support them in military conflicts?","Do you favor or oppose hydraulic fracturing or ""fracking"" as a means of increasing the production of natural gas and oil in the U.S.?",Do you favor or oppose the government prohibiting recreational marijuana?,Do you agree or disagree that men and women should have equal financial compensation in the workplace and equal obligation of citizenship such as signing up for the military draft?,Which presidential candidate do you support?,Which senatorial candidate do you support?,Comments?
2016/10/17 10:53:15 AM EST,Columbus School for Girls,9,Female,Middle Eastern,No,No Party Affiliation,I don't know,5,3,4,5,1,3,3,3,3,5,3,5,3,3,3,1,none,No opinion,
2016/10/17 10:53:30 AM EST,Columbus School for Girls,10,Female,Caucasian,No,Democratic Party,Yes,1,1,3,3,3,1,1,2,1,1,2,1,2,1,2,1,Hillary Clinton,Ted Strickland,
2016/10/17 10:53:34 AM EST,Columbus School for Girls,10,Female,Caucasian,No,Democratic Party,Yes,2,2,1,2,1,1,2,2,2,2,2,2,3,2,3,1,Hillary Clinton,No opinion,
2016/10/17 10:53:37 AM EST,Columbus School for Girls,12,Female,Caucasian,No,Democratic Party,No,1,2,3,4,2,1,5,2,2,1,2,4,2,2,2,1,Hillary Clinton,Rob Portman,
2016/10/17 10:53:42 AM EST,Columbus School for Girls,10,Prefer not to answer,Indian,LGBT+,No Party Affiliation,Yes,1,1,2,5,1,1,3,1,4,5,1,4,1,2,1,1,Hillary Clinton,Ted Strickland,
2016/10/17 10:54:07 AM EST,Columbus School for Girls,12,Female,Caucasian,No,Republican Party,Yes,3,2,4,4,4,4,5,4,3,5,2,1,4,3,5,1,No opinion,No opinion,
2016/10/17 10:54:12 AM EST,Columbus School for Girls,11,Female,Caucasian,No,No Party Affiliation,I don't know,2,1,3,3,3,2,1,3,3,4,1,3,4,3,1,4,Hillary Clinton,No opinion,
2016/10/17 10:54:17 AM EST,Columbus School for Girls,9,Female,Caucasian;Middle Eastern,No,Democratic Party,Yes,4,1,4,3,3,1,3,2,2,3,1,3,3,3,3,2,Hillary Clinton,No opinion,
2016/10/17 10:55:33 AM EST,Columbus School for Girls,10,Female,Asian;Caucasian;Pacific Islander,No,No Party Affiliation,Yes,5,3,4,3,3,4,2,2,2,4,2,3,2,3,2,1,Hillary Clinton,Ted Strickland,
2016/10/17 10:55:45 AM EST,Columbus School for Girls,11,Female,Caucasian,No,Republican Party,Yes,4,3,4,5,4,4,5,4,4,5,4,4,2,3,4,1,Donald Trump,Rob Portman,
2016/10/17 10:56:14 AM EST,Columbus School for Girls,9,Female,Caucasian,No,No Party Affiliation,Yes,2,2,3,4,2,1,1,4,3,2,1,3,4,2,4,1,No opinion,No opinion,
2016/10/17 10:56:34 AM EST,Columbus School for Girls,11,Female,Middle Eastern,No,Democratic Party,One does and the other one doesn't,4,2,2,1,1,1,1,3,3,2,1,4,3,1,4,1,Hillary Clinton,No opinion,
2016/10/17 10:56:40 AM EST,Columbus School for Girls,9,Female,Caucasian,LGBT+,Democratic Party,One does and the other one doesn't,1,2,3,2,2,2,2,3,2,2,2,2,3,2,4,1,Hillary Clinton,No opinion,
2016/10/17 10:57:00 AM EST,Columbus School for Girls,9,Female,Caucasian,No,No Party Affiliation,No,1,3,3,2,1,3,1,3,2,4,2,3,4,3,3,1,Hillary Clinton,No opinion,
2016/10/17 10:57:23 AM EST,Columbus School for Girls,11,Female,Caucasian,No,Libertarian Party,Yes,3,1,4,5,2,3,2,5,4,5,2,3,3,3,5,3,Gary Johnson,Rob Portman,
2016/10/17 10:57:24 AM EST,Columbus School for Girls,9,Female,Caucasian,No,Republican Party,Yes,2,4,3,4,3,2,3,4,4,4,3,4,3,4,3,2,Donald Trump,No opinion,
2016/10/17 10:57:29 AM EST,Columbus School for Girls,Faculty,Female,Caucasian,No,Democratic Party,One does and the other one doesn't,1,1,1,1,1,1,1,1,1,2,1,2,3,1,3,1,Hillary Clinton,Ted Strickland,
2016/10/17 10:57:40 AM EST,Columbus School for Girls,10,Female,Caucasian,No,Democratic Party,One does and the other one doesn't,1,1,3,4,2,2,1,2,1,1,1,1,2,2,4,1,Hillary Clinton,,
2016/10/17 10:58:19 AM EST,Columbus School for Girls,12,Female,Caucasian,LGBT+,Democratic Party,Yes,1,1,2,3,1,1,1,2,1,3,1,3,3,2,2,1,Hillary Clinton,Ted Strickland,
2016/10/17 10:58:35 AM EST,Columbus School for Girls,11,Female,Caucasian,LGBT+,Democratic Party,Yes,1,3,2,3,1,1,5,2,2,3,2,2,2,2,3,1,Hillary Clinton,No opinion,
2016/10/17 10:59:05 AM EST,Columbus School for Girls,Faculty,Female,Caucasian,LGBT+,Democratic Party,Yes,1,1,1,2,1,1,1,2,1,1,1,2,2,1,1,1,Hillary Clinton,Ted Strickland,
2016/10/17 11:00:44 AM EST,Columbus School for Girls,10,Female,Caucasian,No,Democratic Party,No,2,1,3,4,1,1,1,2,2,,1,3,2,4,4,1,Hillary Clinton,Ted Strickland,
2016/10/17 11:00:46 AM EST,Columbus School for Girls,12,Female,Caucasian,No,Democratic Party,Yes,1,1,1,3,2,1,1,1,1,1,1,1,1,1,3,1,Hillary Clinton,Ted Strickland,
2016/10/17 11:00:52 AM EST,Columbus School for Girls,Faculty,Female,Caucasian,No,Republican Party,Yes,1,1,5,5,1,1,1,1,5,1,1,1,5,1,1,1,Donald Trump,Rob Portman,
2016/10/17 11:01:53 AM EST,Columbus School for Girls,Faculty,Female,Caucasian,No,Democratic Party,Yes,1,1,3,5,1,1,1,4,2,2,3,2,2,2,1,1,Hillary Clinton,Ted Strickland,
2016/10/17 11:02:24 AM EST,Columbus School for Girls,12,Female,Caucasian,No,Republican Party,Yes,3,2,5,5,3,4,5,4,5,5,2,4,4,5,5,1,Donald Trump,No opinion,
2016/10/17 11:02:24 AM EST,Columbus School for Girls,10,Female,African-American,No,No Party Affiliation,One does and the other one doesn't,5,1,3,3,1,4,4,1,4,3,3,3,3,3,5,1,Gary Johnson,No opinion,
2016/10/17 11:02:29 AM EST,Columbus School for Girls,10,Female,Caucasian,No,Democratic Party,One does and the other one doesn't,1,1,2,3,2,2,1,2,1,1,1,3,2,3,2,1,Hillary Clinton,Ted Strickland,
2016/10/17 11:02:46 AM EST,Columbus School for Girls,Faculty,Female,Caucasian,No,Democratic Party,No,1,1,2,1,2,1,1,3,2,4,2,2,2,3,2,1,Hillary Clinton,Ted Strickland,
2016/10/17 11:02:52 AM EST,Columbus School for Girls,9,Female,Asian;Caucasian;Hispanic;Pacific Islander,No,Republican Party,Yes,2,3,3,3,1,3,5,4,5,3,4,2,3,4,2,1,Donald Trump,No opinion,
2016/10/17 11:03:45 AM EST,Columbus School for Girls,Faculty,Male,Caucasian,No,Libertarian Party,No,4,4,2,5,4,4,4,4,4,5,3,2,5,4,2,1,Gary Johnson,Rob Portman,
2016/10/17 11:03:51 AM EST,Columbus School for Girls,Faculty,Male,Caucasian,No,Democratic Party,No,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,Hillary Clinton,Ted Strickland,
2016/10/17 11:04:00 AM EST,Columbus School for Girls,Faculty,Female,Caucasian;Hispanic,No,Democratic Party,No,1,1,3,4,1,1,5,1,2,2,1,2,1,2,4,1,Hillary Clinton,Ted Strickland,
